Team,Player,Role,Batting Hand,Bowling Hand,Bowling Style,Foreign Player,Is Captain
Mumbai Indians,Harbhajan Singh,Bowler,Right-handed,Right-arm,Off Spin,0,0
Mumbai Indians,AT Rayudu,Wicketkeeper batsman,Right-handed,Right-arm,Off Spin,0,0
Mumbai Indians,JJ Bumrah,Bowler,Right-handed,Right-arm,Medium Fast,0,0
Mumbai Indians,S Gopal,All-rounder,Right-handed,Right-arm,Leg Spin,0,0
Mumbai Indians,LMP Simmons,Batsman,Right-handed,Right-arm,Medium Pace,1,0
Mumbai Indians,R Vinay Kumar,Bowler,Right-handed,Right-arm,Medium Fast,0,0
Mumbai Indians,PA Patel,Wicketkeeper batsman,Left-handed,,,0,0
Mumbai Indians,MJ McClenaghan,Bowler,Left-handed,Left-arm,Medium Fast,1,0
Mumbai Indians,N Rana,Batsman,Left-handed,Right-arm,Off Spin,0,0
Mumbai Indians,Siddhesh Lad,Batsman,Right-handed,RIght-arm,Off Spin,0,0
Mumbai Indians,J Suchith,Bowler,Left-handed,Left-arm,Orthodox Spin,0,0
Mumbai Indians,HH Pandya,All-rounder,Right-handed,Right-arm,Medium Fast,0,0
Mumbai Indians,JC Buttler,Wicketkeeper batsman,Right-handed,,,1,0
Mumbai Indians,TG Southee,Bowler,Right-handed,Right-arm,Medium Fast,1,0
Mumbai Indians,Jitesh Sharma,Wicketkeeper batsman,Right-handed,,,0,0
Mumbai Indians,KH Pandya,All-rounder,Left-handed,Left-arm,Orthodox Spin,0,0
Mumbai Indians,Deepak Punia,Bowler,Right-handed,Right-arm,Medium Pace,0,0
Mumbai Indians,SS Tiwary,Batsman,Left-handed,,,0,0
Mumbai Indians,Nicholas Pooran, , ,,,1,0
Mumbai Indians,MG Johnson,Bowler,Left-handed,Left-arm,Fast,1,0
Mumbai Indians,KV Sharma,Bowler,Left-handed,Right-arm,Leg Spin,0,0
Mumbai Indians,Asela Gunaratne, , ,,,1,0
Mumbai Indians,Krishnappa Gowtham,All-rounder, ,,,0,0
Mumbai Indians,Kulwant Khejroliya, , ,,,0,0
Rising Pune Supergiant,MS Dhoni,Wicketkeeper batsman,Right-handed,Right-arm,Medium Pace,0,1
Rising Pune Supergiant,AM Rahane,Batsman,Right-handed,Right-arm,Medium Pace,0,0
Rising Pune Supergiant,R Ashwin,Bowler,Right-handed,Right-arm,Off Spin,0,0
Rising Pune Supergiant,SPD Smith,Batsman,Right-handed,Right-arm,Leg Spin,1,0
Rising Pune Supergiant,F du Plessis,Batsman,Right-handed,Right-arm,Leg Spin,1,0
Rising Pune Supergiant,MR Marsh,All-rounder,Right-handed,Right-arm,Medium Fast,1,0
Rising Pune Supergiant,AB Dinda,Bowler,Right-handed,Right-arm,Medium Fast,0,0
Rising Pune Supergiant,Ankush Bains,Wicketkeeper batsman,Right-handed,,,0,0
Rising Pune Supergiant,R Bhatia,All-rounder,Right-handed,Right-arm,Medium Pace,0,0
Rising Pune Supergiant,Ankit Sharma,All-rounder,Left-handed,Left-arm,Orthodox Spin,0,0
Rising Pune Supergiant,IC Pandey,Bowler,Right-handed,Right-arm,Medium Fast,0,0
Rising Pune Supergiant,A Zampa,Bowler,Right-handed,Right-arm,Leg Spin,1,0
Rising Pune Supergiant,Jaskaran Singh,Bowler,Right-handed,Right-arm,Medium Pace,0,0
Rising Pune Supergiant,Baba Aparajith,All-rounder,Right-handed,Right-arm,Off Spin,0,0
Rising Pune Supergiant,DL Chahar,Bowler,Right-handed,Right-arm,Medium Pace,0,0
Rising Pune Supergiant,UT Khawaja,Batsman,Left-handed,,,1,0
Rising Pune Supergiant,MA Agarwal,Batsman,Right-handed,,,0,0
Rising Pune Supergiant,Ben Stokes,All-rounder, ,,,1,0
Rising Pune Supergiant,MK Tiwary,Batsman,Right-handed,Right-arm,Leg Spin,0,0
Rising Pune Supergiant,JD Unadkat,Bowler,Left-handed,Left-arm,Medium Fast,0,0
Rising Pune Supergiant,Rahul Chahar, , ,,,0,0
Rising Pune Supergiant,DT Christian,All-rounder,Right-handed,Right-arm,Medium Fast,1,0
Rising Pune Supergiant,Lockie Ferguson, , ,,,1,0
Rising Pune Supergiant,Saurabh Kumar, , ,,,0,0
Rising Pune Supergiant,Milind Tandon, , ,,,0,0
Rising Pune Supergiant,Rahul Tripathi, , ,,,0,0
Royal Challengers Bangalore,V Kohli,Batsman,Right-handed,Right-arm,Medium Pace,0,1
Royal Challengers Bangalore,AB de Villiers,Wicketkeeper batsman,Right-handed,Right-arm,Medium Pace,1,0
Royal Challengers Bangalore,CH Gayle,All-rounder,Left-handed,Right-arm,Off Spin,1,0
Royal Challengers Bangalore,YS Chahal,Bowler,Right-handed,Right-arm,Leg Spin,0,0
Royal Challengers Bangalore,HV Patel,Bowler,Right-handed,Right-arm,Medium Pace,0,0
Royal Challengers Bangalore,Mandeep Singh,All-rounder,Right-handed,Right-arm,Medium Pace,0,0
Royal Challengers Bangalore,AF Milne,Bowler,Right-handed,Right-arm,Fast,1,0
Royal Challengers Bangalore,SN Khan,Batsman,Right-handed,Right-arm,Leg Spin,0,0
Royal Challengers Bangalore,S Aravind,Bowler,Left-handed,Left-arm,Medium Fast,0,0
Royal Challengers Bangalore,KM Jadhav,Batsman,Right-handed,Right-arm,Off Spin,0,0
Royal Challengers Bangalore,SR Watson,All-rounder,Right-handed,Right-arm,Medium Fast,1,0
Royal Challengers Bangalore,STR Binny,All-rounder,Right-handed,Right-arm,Medium Pace,0,0
Royal Challengers Bangalore,S Badree,Bowler,Right-handed,Right-arm,Leg Spin,1,0
Royal Challengers Bangalore,TM Head,Batsman,Left-handed,Right-arm,Off Spin,1,0
Royal Challengers Bangalore,Sachin Baby,Batsman,Left-handed,Right-arm,Off Spin,0,0
Royal Challengers Bangalore,Iqbal Abdulla,Bowler,Left-handed,Left-arm,Orthodox Spin,0,0
Royal Challengers Bangalore,KL Rahul,Wicketkeeper batsman,Right-handed,,,0,0
Royal Challengers Bangalore,Avesh Khan,Bowler, ,,,0,0
Royal Challengers Bangalore,T Shamsi,Bowler, ,Left-Arm,Chinaman,1,0
Royal Challengers Bangalore,P Negi,All-rounder,Left-handed,Left-arm,Orthodox Spin,0,0
Royal Challengers Bangalore,Tymal Mills,Bowler, ,,,1,0
Royal Challengers Bangalore,Praveen Dubey,Bowler,Right-handed,,,0,0
Royal Challengers Bangalore,Aniket Choudhary,Bowler,Right-handed,Left-arm,Medium Fast,0,0
Royal Challengers Bangalore,Billy Stanlake, , ,,,1,0
Sunrisers Hyderabad,S Dhawan,Batsman,Left-handed,,,0,0
Sunrisers Hyderabad,B Kumar,Bowler,Right-handed,Right-arm,Medium Fast,0,0
Sunrisers Hyderabad,DA Warner,Batsman,Left-handed,Right-arm,Leg Spin,1,1
Sunrisers Hyderabad,MC Henriques,All-rounder,Right-handed,Right-arm,Medium Fast,1,0
Sunrisers Hyderabad,NV Ojha,Wicketkeeper batsman,Right-handed,,,0,0
Sunrisers Hyderabad,Ricky Bhui,Batsman,Right-handed,Right-arm,Leg Spin,0,0
Sunrisers Hyderabad,KS Williamson,Batsman,Right-handed,Right-arm,Off Spin,1,0
Sunrisers Hyderabad,S Kaul,Bowler,Right-handed,Right-arm,Medium Fast,0,0
Sunrisers Hyderabad,Bipul Sharma,All-rounder,Left-handed,Left-arm,Orthodox Spin,0,0
Sunrisers Hyderabad,A Nehra,Bowler,Right-handed,Left-arm,Medium Fast,0,0
Sunrisers Hyderabad,Yuvraj Singh,All-rounder,Left-handed,Left-arm,Orthodox Spin,0,0
Sunrisers Hyderabad,BCJ Cutting,Bowler,Right-handed,Right-arm,Medium Fast,1,0
Sunrisers Hyderabad,A Mithun,Bowler,Right-handed,Right-arm,Medium Fast,0,0
Sunrisers Hyderabad,Mustafizur Rahman,Bowler, ,,,1,0
Sunrisers Hyderabad,BB Sran,Bowler, ,Left-arm,Medium Fast,0,0
Sunrisers Hyderabad,DJ Hooda,All-rounder,Right-handed,Right-arm,Off Spin,0,0
Sunrisers Hyderabad,V Shankar,All-rounder,Right-handed,Right-arm,Off Spin,0,0
Sunrisers Hyderabad,CJ Jordan,Bowler, ,,,1,0
Sunrisers Hyderabad,Mohammad Nabi,All-rounder, ,,,1,0
Sunrisers Hyderabad,ER Dwivedi,Wicketkeeper batsman,Right-handed,,,0,0
Sunrisers Hyderabad,Rashid Khan,Bowler, ,,,1,0
Sunrisers Hyderabad,PV Tambe,All-rounder,Right-handed,Right-arm,Leg Spin,0,0
Sunrisers Hyderabad,B Laughlin,Bowler,Right-handed,Right-arm,Medium Fast,1,0
Sunrisers Hyderabad,Tanmay Agarwal, , ,,,0,0
Sunrisers Hyderabad,Mohammed Siraj,Bowler, ,,,0,0
,SC Ganguly,,,,,,
,RT Ponting,,,,,,
,DJ Hussey,,,,,,
,Mohammad Hafeez,,,,,,
,R Dravid,,,,,,
,W Jaffer,,,,,,
,JH Kallis,,,,,,
,CL White,,,,,,
,MV Boucher,,,,,,
,B Akhil,,,,,,
,AA Noffke,,,,,,
,SB Joshi,,,,,,
,ML Hayden,,,,,,
,MEK Hussey,,,,,,
,JDP Oram,,,,,,
,S Badrinath,,,,,,
,K Goel,,,,,,
,JR Hopes,,,,,,
,KC Sangakkara,,,,,,
,SM Katich,,,,,,
,IK Pathan,,,,,,
,T Kohli,,,,,,
,M Kaif,,,,,,
,DS Lehmann,,,,,,
,M Rawat,,,,,,
,D Salunkhe,,,,,,
,SK Warne,,,,,,
,SK Trivedi,,,,,,
,V Sehwag,,,,,,
,L Ronchi,,,,,,
,ST Jayasuriya,,,,,,
,DJ Thornely,,,,,,
,PR Shah,,,,,,
,AM Nayar,,,,,,
,SM Pollock,,,,,,
,S Chanderpaul,,,,,,
,LRPL Taylor,,,,,,
,AC Gilchrist,,,,,,
,Y Venugopal Rao,,,,,,
,VVS Laxman,,,,,,
,A Symonds,,,,,,
,SB Styris,,,,,,
,AS Yadav,,,,,,
,SB Bangar,,,,,,
,WPUJC Vaas,,,,,,
,RP Singh,,,,,,
,LR Shukla,,,,,,
,DPMD Jayawardene,,,,,,
,S Sohal,,,,,,
,B Lee,,,,,,
,WA Mota,,,,,,
,Kamran Akmal,,,,,,
,Shahid Afridi,,,,,,
,MA Khote,,,,,,
,GC Smith,,,,,,
,Pankaj Singh,,,,,,
,RR Sarwan,,,,,,
,S Sreesanth,,,,,,
,VRV Singh,,,,,,
,AB Agarkar,,,,,,
,M Kartik,,,,,,
,I Sharma,,,,,,
,Shoaib Malik,,,,,,
,MF Maharoof,,,,,,
,VY Mahesh,,,,,,
,TM Srivastava,,,,,,
,B Chipli,,,,,,
,DW Steyn,,,,,,
,DB Das,,,,,,
,HH Gibbs,,,,,,
,DNT Zoysa,,,,,,
,D Kalyankrishna,,,,,,
,SA Asnodkar,,,,,,
,Sohail Tanvir,,,,,,
,Salman Butt,,,,,,
,BJ Hodge,,,,,,
,Umar Gul,,,,,,
,SP Fleming,,,,,,
,S Vidyut,,,,,,
,JA Morkel,,,,,,
,Misbah-ul-Haq,,,,,,
,YV Takawale,,,,,,
,RR Raje,,,,,,
,Mohammad Asif,,,,,,
,GD McGrath,,,,,,
,Joginder Sharma,,,,,,
,M Muralitharan,,,,,,
,M Ntini,,,,,,
,DT Patil,,,,,,
,A Kumble,,,,,,
,S Anirudha,,,,,,
,CK Kapugedera,,,,,,
,A Chopra,,,,,,
,T Taibu,,,,,,
,J Arunkumar,,,,,,
,DB Ravi Teja,,,,,,
,PP Ojha,,,,,,
,U Kaul,,,,,,
,TM Dilshan,,,,,,
,AD Mascarenhas,,,,,,
,NK Patel,,,,,,
,LA Pomersbach,,,,,,
,SR Tendulkar,,,,,,
,PM Sarvesh Kumar,,,,,,
,DP Vijaykumar,,,,,,
,Shoaib Akhtar,,,,,,
,Abdur Razzak,,,,,,
,LPC Silva,,,,,,
,H Das,,,,,,
,SP Goswami,,,,,,
,SD Chitnis,,,,,,
,CRD Fernando,,,,,,
,VS Yeligati,,,,,,
,L Balaji,,,,,,
,A Mukund,,,,,,
,Younis Khan,,,,,,
,RR Powar,,,,,,
,A Flintoff,,,,,,
,T Thushara,,,,,,
,JD Ryder,,,,,,
,KP Pietersen,,,,,,
,T Henderson,,,,,,
,Kamran Khan,,,,,,
,RS Bopara,,,,,,
,R Bishnoi,,,,,,
,FH Edwards,,,,,,
,PC Valthaty,,,,,,
,RJ Quiney,,,,,,
,AS Raut,,,,,,
,Yashpal Singh,,,,,,
,M Manhas,,,,,,
,AA Bilakhia,,,,,,
,AN Ghosh,,,,,,
,BAW Mendis,,,,,,
,DL Vettori,,,,,,
,MN van Wyk,,,,,,
,RE van der Merwe,,,,,,
,TL Suman,,,,,,
,Shoaib Ahmed,,,,,,
,GR Napier,,,,,,
,KP Appanna,,,,,,
,LA Carseldine,,,,,,
,SM Harwood,,,,,,
,RJ Harris,,,,,,
,D du Preez,,,,,,
,M Morkel,,,,,,
,J Botha,,,,,,
,C Nanda,,,,,,
,Mashrafe Mortaza,,,,,,
,A Singh,,,,,,
,GJ Bailey,,,,,,
,AB McDonald,,,,,,
,Y Nagar,,,,,,
,SS Shaikh,,,,,,
,Mohammad Ashraful,,,,,,
,CA Pujara,,,,,,
,OA Shah,,,,,,
,Anirudh Singh,,,,,,
,R Sathish,,,,,,
,R McLaren,,,,,,
,AA Jhunjhunwala,,,,,,
,P Dogra,,,,,,
,A Uniyal,,,,,,
,MS Bisla,,,,,,
,YA Abdulla,,,,,,
,JM Kemp,,,,,,
,S Tyagi,,,,,,
,RS Gavaskar,,,,,,
,SE Bond,,,,,,
,S Ladda,,,,,,
,DP Nannes,,,,,,
,MJ Lumb,,,,,,
,DR Martyn,,,,,,
,S Narwal,,,,,,
,AB Barath,,,,,,
,FY Fazal,,,,,,
,AC Voges,,,,,,
,MD Mishra,,,,,,
,J Theron,,,,,,
,SJ Srivastava,,,,,,
,R Sharma,,,,,,
,SW Tait,,,,,,
,KB Arun Karthik,,,,,,
,KAJ Roach,,,,,,
,PD Collingwood,,,,,,
,CK Langeveldt,,,,,,
,VS Malik,,,,,,
,AP Dole,,,,,,
,AN Ahmed,,,,,,
,RS Sodhi,,,,,,
,DE Bollinger,,,,,,
,S Sriram,,,,,,
,B Sumanth,,,,,,
,C Madan,,,,,,
,AG Paunikar,,,,,,
,Harmeet Singh,,,,,,
,RV Gomez,,,,,,
,AUK Pathan,,,,,,
,UBT Chand,,,,,,
,DJ Jacobs,,,,,,
