"team","player","role","batting_hand","bowling_hand","bowling_style","foreign_player","is_captain","value","uncapped_player","bowling_points_fandromeda","batting_points_fandromeda","overall_points_fandromeda","innings","avg_bowling_points_overall","avg_batting_points_overall","avg_points_overall","avg_bowling_points_overall_fandromeda","avg_batting_points_overall_fandromeda","avg_points_overall_fandromeda","vfm_index","bowling_speed"
"Gujarat Lions","SB Jakati","Bowler","Left-handed","Left-arm","Orthodox Spin",0,0,75,1,-3,0,-3,2,-0.5,0,-0.5,-1.5,0,-1.5,-0.00666666666666667,"Spin"
"Gujarat Lions","MM Patel","Bowler","Right-handed","Right-arm","Medium Pace",0,0,75,0,28,0,28,1,31,0,31,28,0,28,0.413333333333333,"Medium"
"Kolkata Knight Riders","Kuldeep Yadav","Bowler","Left-handed","Left-arm","Chinaman",0,0,75,0,355,1,356,9,37.5555555555556,4,38,39.4444444444444,1,39.5555555555556,0.506666666666667,"Spin"
"Mumbai Indians","KH Pandya","All-rounder","Left-handed","Left-arm","Orthodox Spin",0,0,75,1,435,209,669,9,40,30.1428571428571,66.2222222222222,48.3333333333333,29.8571428571429,74.3333333333333,0.882962962962963,"Spin"
"Mumbai Indians","KV Sharma","Bowler","Left-handed","Right-arm","Leg Spin",0,0,75,0,79,25,104,2,47,13.5,60.5,39.5,12.5,52,0.806666666666667,"Spin"
"Rising Pune Supergiant","MK Tiwary","Batsman","Right-handed","Right-arm","Leg Spin",0,0,75,0,0,297,297,9,0,33,33,0,33,33,0.44,"Spin"
"Rising Pune Supergiant","JD Unadkat","Bowler","Left-handed","Left-arm","Medium Fast",0,0,75,0,421,-1,420,7,57.8571428571429,2,58.1428571428571,60.1428571428571,-1,60,0.775238095238095,"Fast"
"Royal Challengers Bangalore","S Aravind","Bowler","Left-handed","Left-arm","Medium Fast",0,0,75,0,210,19,229,8,21.625,4.6,24.5,26.25,3.8,28.625,0.326666666666667,"Fast"
"Royal Challengers Bangalore","STR Binny","All-rounder","Right-handed","Right-arm","Medium Pace",0,0,75,0,94,92,186,7,27.5,12,27.7142857142857,23.5,13.1428571428571,26.5714285714286,0.36952380952381,"Medium"
"Sunrisers Hyderabad","NV Ojha","Wicketkeeper batsman","Right-handed","0","0",0,0,75,0,0,77,77,3,0,27,27,0,25.6666666666667,25.6666666666667,0.36,"Medium"
